,scientific,common
0,N=Aedes albopictus densovirus (isolate Boublik/1994),C=AalDNV
1,N=Adeno-associated virus 2,C=AAV-2
2,N=Adeno-associated virus 2 (isolate Srivastava/1982),C=AAV-2
3,N=Abacion magnum,C=Millipede
4,N=Abaeis nicippe,C=Sleepy orange butterfly
5,N=Abax parallelepipedus,C=Ground beetle
6,N=Abalistes stellaris,C=Starry triggerfish
7,N=Abbottina rivularis,C=Chinese false gudgeon
8,N=Abdopus aculeatus,C=Algae octopus
9,N=Antarctic bacterium DS2-3R,unknown
10,N=Abelia chinensis,C=Chinese abelia
11,N=Abelmoschus ficulneus,C=Native rosella
12,N=Abelia grandiflora,C=Glossy abelia
13,N=Abelmoschus manihot,C=Sweet hibiscus
14,N=Abalone herpesvirus (isolate Abalone/Australia/Victoria/2009),C=AbHV
15,N=Abies alba,C=Edeltanne
16,N=Abies balsamea,C=Balsam fir
17,N=Abies beshanzuensis,C=Baishan fir
18,N=Abies bracteata,C=Bristle-cone fir
19,N=Abies concolor,C=White fir
20,N=Abiotrophia defectiva,unknown
21,N=Abies firma,C=Momi fir
22,N=Abies fraseri,C=Fraser fir
23,N=Abisara fylloides,C=Judy butterfly
24,N=Abies grandis,C=Grand fir
25,N=Abies holophylla,C=Neddle fir
26,N=Abies homolepis,C=Nikko fir
27,N=Abies koreana,C=Korean fir
28,N=Abies lasiocarpa,C=Subalpine fir
29,N=Abies magnifica,C=Red fir
30,N=Abies mariesii,C=Marie's fir
31,N=Abies nebrodensis,C=Sicilian fir
32,N=Abies nordmanniana,C=Caucasian fir
33,N=Abies sachalinensis,C=Sakhalin fir
34,N=Abies veitchii,C=Veitch fir
35,N=Ablepharus budaki,C=Budak's snake-eyed skink
36,N=Ablennes hians,C=Flat needlefish
37,N=Ablepharus kitaibelii,C=Snake-eyed skink
38,N=Australian bat lyssavirus (isolate Bat/AUS/1996),C=ABLV
39,N=Australian bat lyssavirus (isolate Human/AUS/1998),C=ABLV
40,N=Abutilon mosaic virus (isolate West India),C=AbMV
41,N=Acute bee paralysis virus (strain Rothamsted),C=ABPV
42,N=Abrothrix andinus,C=Andean mouse
43,N=Abrocoma bennettii,C=Bennett's chinchilla rat
44,N=Abramis brama,C=Freshwater bream
45,N=Abronia graminea,C=Terrestrial arboreal alligator lizard
46,N=Abrothrix jelskii,C=Jelski's altiplano mouse
47,N=Abrothrix longipilis,C=Long-haired grass mouse
48,N=Abrothrix olivaceus,C=Olive grass mouse
49,N=Abrophyllum ornans,C=Native hydrangea
50,N=Abrus precatorius,C=Indian licorice
51,N=Abraxas sylvata,C=Clouded magpie moth
52,N=Absidia glauca,C=Pin mould
53,N=Absidia spinosa,unknown
54,N=Abudefduf saxatilis,C=Sergeant major
55,N=Abudefduf sexfasciatus,C=Scissortail sergeant
56,N=Abutilon theophrasti,C=Velvet-leaf
57,N=Abudefduf vaigiensis,C=Indo-Pacific sergeant
58,N=Acidianus bottle-shaped virus,C=ABV
59,N=Acidianus bottle-shaped virus (isolate Italy/Pozzuoli),C=ABV
60,N=Abyssocottus korotneffi,C=Baikalian deep-water sculpin
61,N=Acanthophis antarcticus,C=Common death adder
62,N=Acanthoscelides argillaceus,C=Bean weevil
63,N=Acanthospermum australe,C=Paraguayan starburr
64,N=Acanthurus bahianus,C=Ocean surgeonfish
65,N=Acanthopagrus berda,C=Picnic seabream
66,N=Acanthidops bairdi,C=Peg-billed finch
67,N=Acanthocobitis botia,C=Mottled loach
68,N=Acanthaster brevispinus,C=Short-spined crown-of-thorns starfish
69,N=Acanthopagrus butcheri,C=Australian black bream
70,N=Acanthaluteres brownii,C=Spiny-tailed leatherjacket
71,N=Acanthamoeba castellanii,C=Amoeba
72,N=Acanthurus coeruleus,C=Blue tang surgeonfish
73,N=Acanthurus chirurgus,C=Doctorfish
74,N=Acantopsis choirorhynchos,C=Horseface loach
75,N=Acalypha californica,C=California copperleaf
76,N=Acanthochitona crinita,C=Chiton
77,N=Acacia confusa,C=Formosa acacia
78,N=Acanthosaura capra,C=Mountain horned dragon
79,N=Acanthosoma crassicaudum,C=Shield bug
80,N=Acartia clausii,C=Copepod
