,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
0,Hexanchus griseus,Near Threatened,2020,2019-11-21 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
1,Heosemys annandalii,Critically Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
2,Hubbsina turneri,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
3,Hungerfordia pelewensis,Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
4,Ictalurus mexicanus,Vulnerable,2019,2018-12-06 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
5,Indotestudo forstenii,Critically Endangered,2021,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global,CHORDATA,REPTILIA
6,Pangshura sylhetensis,Critically Endangered,2021,2018-03-12 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
7,Kubaryia pilikia,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
8,Ameca splendens,Critically Endangered,2019,2018-04-18 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
9,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
10,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
11,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
12,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
13,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
14,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
15,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
16,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
17,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
18,Lampsilis rafinesqueana,Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
19,Lampsilis abrupta,Vulnerable,2012,2012-04-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
20,Hamiota altilis,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
21,Obovaria haddletoni,Critically Endangered,2012,2012-04-11 00:00:00 UTC,,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
22,Lemiox rimosus,Critically Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
23,Leptodea ochracea,Near Threatened,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
24,Leptoxis taeniata,Endangered,2012,2011-10-26 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,GASTROPODA
25,Lepus castroviejoi,Vulnerable,2019,2018-06-01 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",CHORDATA,MAMMALIA
26,Pleuronaia dolabelloides,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
27,Lithognathus lithognathus,Endangered,2014,2009-12-04 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,ACTINOPTERYGII
28,Lucania interioris,Endangered,2019,2018-12-14 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,CHORDATA,ACTINOPTERYGII
29,Lutjanus cyanopterus,Vulnerable,2016,2015-10-10 00:00:00 UTC,Decreasing,Marine,Nearctic|Neotropical,Global,CHORDATA,ACTINOPTERYGII
30,Malaclemys terrapin,Vulnerable,2019,2018-06-03 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine,Nearctic,Global,CHORDATA,REPTILIA
31,Malacochersus tornieri,Critically Endangered,2019,2018-10-25 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,CHORDATA,REPTILIA
32,Manouria impressa,Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global,CHORDATA,REPTILIA
33,Mantella aurantiaca,Endangered,2020,2018-08-23 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Afrotropical,Global,CHORDATA,AMPHIBIA
34,Margaritifera marrianae,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
35,Margaritifera hembeli,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
36,Medionidus parvulus,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
37,Medionidus walkeri,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
43,Anhydrophryne rattrayi,Vulnerable,2016,2016-08-11 00:00:00 UTC,Unknown,Terrestrial,Afrotropical,Global,CHORDATA,AMPHIBIA
44,Melanochelys tricarinata,Endangered,2020,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global,CHORDATA,REPTILIA
45,Menidia conchorum,Endangered,2015,2014-01-07 00:00:00 UTC,Decreasing,Marine,Nearctic,"Global, Caribbean & Gulf of Mexico",CHORDATA,ACTINOPTERYGII
46,Mictocaris halope,Critically Endangered,2014,2013-10-02 00:00:00 UTC,Unknown,Marine,Neotropical,Global,ARTHROPODA,MALACOSTRACA
47,Telmatobius sanborni,Critically Endangered,2020,2019-09-25 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global,CHORDATA,AMPHIBIA
48,Ctenophryne barbatula,Endangered,2018,2017-12-08 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
49,Anodonthyla moramora,Endangered,2016,2015-11-26 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,CHORDATA,AMPHIBIA
50,Zhangixalus yinggelingensis,Vulnerable,2020,2019-06-18 00:00:00 UTC,Stable,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,AMPHIBIA
51,Bolitoglossa gomezi,Endangered,2020,2019-09-11 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
52,Telmatobius punctatus,Endangered,2017,2017-04-21 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global,CHORDATA,AMPHIBIA
53,Oreobates lehri,Endangered,2018,2017-04-19 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
54,Plecotus sardus,Vulnerable,2016,2016-05-25 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",CHORDATA,MAMMALIA
55,Uromys boeadii,Critically Endangered,2016,2016-05-05 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global,CHORDATA,MAMMALIA
