,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
0,Hexanchus griseus,Near Threatened,2020,2019-11-21 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
1,Heosemys annandalii,Critically Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
2,Hubbsina turneri,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes
3,Hungerfordia pelewensis,Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
4,Ictalurus mexicanus,Vulnerable,2019,2018-12-06 00:00:00 UTC,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes
5,Indotestudo forstenii,Critically Endangered,2021,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Reptiles
6,Pangshura sylhetensis,Critically Endangered,2021,2018-03-12 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
7,Kubaryia pilikia,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
8,Ameca splendens,Critically Endangered,2019,2018-04-18 00:00:00 UTC,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes
9,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
10,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
11,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
12,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,Vertebrates,Cartilaginous fishes
13,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,Vertebrates,Cartilaginous fishes
14,Lamna nasus,Critically Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,Vertebrates,Cartilaginous fishes
15,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,Vertebrates,Cartilaginous fishes
16,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,Vertebrates,Cartilaginous fishes
17,Lamna nasus,Critically Endangered,2015,2015-02-05 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,Vertebrates,Cartilaginous fishes
18,Lampsilis rafinesqueana,Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
19,Lampsilis abrupta,Vulnerable,2012,2012-04-24 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
20,Hamiota altilis,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
21,Obovaria haddletoni,Critically Endangered,2012,2012-04-11 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Mollusks,Molluscs
22,Lemiox rimosus,Critically Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
23,Leptodea ochracea,Near Threatened,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
24,Leptoxis taeniata,Endangered,2012,2011-10-26 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Snails & slugs
25,Lepus castroviejoi,Vulnerable,2019,2018-06-01 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals
26,Pleuronaia dolabelloides,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
27,Lithognathus lithognathus,Endangered,2014,2009-12-04 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes
28,Lucania interioris,Endangered,2019,2018-12-14 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes
29,Lutjanus cyanopterus,Vulnerable,2016,2015-10-10 00:00:00 UTC,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes
30,Malaclemys terrapin,Vulnerable,2019,2018-06-03 00:00:00 UTC,Decreasing,Terrestrial & Freshwater & Marine,Nearctic,Global,Vertebrates,Reptiles
31,Malacochersus tornieri,Critically Endangered,2019,2018-10-25 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Reptiles
32,Manouria impressa,Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles
33,Mantella aurantiaca,Endangered,2020,2018-08-23 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians
34,Margaritifera marrianae,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
35,Margaritifera hembeli,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
36,Medionidus parvulus,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
37,Medionidus walkeri,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs
38,Anhydrophryne rattrayi,Vulnerable,2016,2016-08-11 00:00:00 UTC,Unknown,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians
39,Melanochelys tricarinata,Endangered,2020,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles
40,Menidia conchorum,Endangered,2015,2014-01-07 00:00:00 UTC,Decreasing,Marine,Nearctic,"Global, Caribbean & Gulf of Mexico",Vertebrates,Ray-finned fishes
41,Mictocaris halope,Critically Endangered,2014,2013-10-02 00:00:00 UTC,Unknown,Marine,Neotropical,Global,Invertebrates,Crustaceans
42,Telmatobius sanborni,Critically Endangered,2020,2019-09-25 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians
43,Ctenophryne barbatula,Endangered,2018,2017-12-08 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians
44,Anodonthyla moramora,Endangered,2016,2015-11-26 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians
45,Zhangixalus yinggelingensis,Vulnerable,2020,2019-06-18 00:00:00 UTC,Stable,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Amphibians
46,Bolitoglossa gomezi,Endangered,2020,2019-09-11 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians
47,Telmatobius punctatus,Endangered,2017,2017-04-21 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians
48,Oreobates lehri,Endangered,2018,2017-04-19 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians
49,Plecotus sardus,Vulnerable,2016,2016-05-25 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals
50,Uromys boeadii,Critically Endangered,2016,2016-05-05 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Mammals
51,Morenia ocellata,Endangered,2021,2018-03-05 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
52,Morenia petersi,Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
53,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Europe,Vertebrates,Mammals
54,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Europe,Vertebrates,Mammals
55,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Europe,Vertebrates,Mammals
56,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Palearctic,Mediterranean,Vertebrates,Mammals
