,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
0,Hexanchus griseus,Near Threatened,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
1,Heosemys annandalii,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
2,Hubbsina turneri,Critically Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
3,Hungerfordia pelewensis,Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
4,Ictalurus mexicanus,Vulnerable,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
5,Indotestudo forstenii,Critically Endangered,2018,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
6,Pangshura sylhetensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
7,Kubaryia pilikia,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
8,Ameca splendens,Critically Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
9,Lampsilis rafinesqueana,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
10,Lampsilis abrupta,Vulnerable,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,"U.S.A. (AL, AR, IL, IN, KY, LA, MO, OH, PA, TN, VA, WV)","Mucket, pink (pearlymussel)",,
11,Hamiota altilis,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
12,Obovaria haddletoni,Critically Endangered,2012,Unknown,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
13,Lemiox rimosus,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
14,Leptodea ochracea,Near Threatened,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
15,Leptoxis taeniata,Endangered,2011,Decreasing,Freshwater,Nearctic,Global,Mollusks,Snails & slugs,U.S.A. (AL),"Rocksnail, painted",,
16,Lepus castroviejoi,Vulnerable,2018,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals,,,,
17,Pleuronaia dolabelloides,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
18,Lithognathus lithognathus,Endangered,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,White steenbras,,
19,Lucania interioris,Endangered,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
20,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,CO ,Cubera snapper ,,
21,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,BR ,Cubera snapper ,,
22,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,VE ,Cubera snapper ,,
23,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,USA ,Cubera snapper ,,
24,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,CRI ,Cubera snapper ,,
25,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,KY ,Cubera snapper ,,
26,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,HT ,Cubera snapper ,,
27,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,NI ,Cubera snapper ,,
28,Malaclemys terrapin,Vulnerable,2018,Decreasing,Terrestrial & Freshwater & Marine,Nearctic,Global,Vertebrates,Reptiles,,,,
29,Malacochersus tornieri,Critically Endangered,2018,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Reptiles,,,,
30,Manouria impressa,Endangered,2018,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles,,,,
31,Mantella aurantiaca,Endangered,2018,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
32,Margaritifera marrianae,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
33,Margaritifera hembeli,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,U.S.A. (LA),"Pearlshell, Louisiana",,
34,Medionidus parvulus,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,"U.S.A. (AL, GA, TN)","Moccasinshell, Coosa",,
35,Medionidus walkeri,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
36,Anhydrophryne rattrayi,Vulnerable,2016,Unknown,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
37,Melanochelys tricarinata,Endangered,2018,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles,Central India to Bangladesh and Burma,"Turtle, three-keeled Asian",,
38,Menidia conchorum,Endangered,2014,Decreasing,Marine,Nearctic,"Global, Caribbean & Gulf of Mexico",Vertebrates,Ray-finned fishes,USA ,Key silverside ,,
39,Mictocaris halope,Critically Endangered,2013,Unknown,Marine,Neotropical,Global,Invertebrates,Crustaceans,,,,
40,Telmatobius sanborni,Critically Endangered,2019,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
41,Ctenophryne barbatula,Endangered,2017,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
42,Anodonthyla moramora,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
43,Zhangixalus yinggelingensis,Vulnerable,2019,Stable,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Amphibians,,,,
44,Bolitoglossa gomezi,Endangered,2019,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
45,Telmatobius punctatus,Endangered,2017,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
46,Oreobates lehri,Endangered,2017,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
47,Plecotus sardus,Vulnerable,2016,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals,,,,
48,Uromys boeadii,Critically Endangered,2016,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Mammals,,,,
49,Morenia ocellata,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,Burma,"Turtle, Burmese peacock",,
50,Morenia petersi,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,US,,37.09024,-95.712891
51,Neochanna burrowsius,Critically Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
52,Neochanna diversus,Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
53,Neochanna apoda,Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
54,Nilssonia formosa,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
55,Notochelys platynota,Vulnerable,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
56,Notropis aguirrepequenoi,Vulnerable,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
57,Notropis amecae,Extinct in the Wild,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
58,Obovaria jacksoniana,Vulnerable,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
59,Mauremys sinensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan|Palearctic,Global,Vertebrates,Reptiles,,,,
60,Ogmodon vitianus,Endangered,2011,Decreasing,Terrestrial,Oceanian,Global,Vertebrates,Reptiles,,,,
61,Ophisternon infernale,Endangered,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,Mexico,Blind swamp eel,,
62,Sciades parkeri,Vulnerable,2011,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Ray-finned fishes,BR ,Gillbacker sea catfish ,,
63,Sciades parkeri,Vulnerable,2011,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Ray-finned fishes,VE ,Gillbacker sea catfish ,,
64,Orlitia borneensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,SG,,1.352083,103.819836
65,Euryoryzomys lamia,Vulnerable,2017,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,,,,
66,Tarraconia rolani,Endangered,2007,Unknown,Freshwater,Palearctic,"Global, Europe & Mediterranean",Mollusks,Snails & slugs,,,,
67,Theba macandrewiana,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
68,Palaemonetes antrorum,Endangered,2012,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans,,,,
